model,method,faithfulness_corr,max_sens,mprt
densenet121,gradcam++,-0.1083793193101883,0.960751211643219,
densenet121,gradcam,-0.1005957875400781,0.9688440442085268,
densenet121,ig,-0.2066022582352161,0.971840924024582,
densenet121,lime,-0.0835885718464851,0.9637665987014772,
densenet169,gradcam++,0.247865928709507,0.9428243398666382,
densenet169,gradcam,0.2527152881026268,0.9517927467823027,
densenet169,ig,0.2571980886161327,0.955991393327713,
densenet169,lime,0.2409623280167579,0.9598524391651152,
efficientnet_b0,gradcam++,0.020202213525772,0.893466466665268,
efficientnet_b0,gradcam,0.0573818922042846,0.8935166895389557,
efficientnet_b0,ig,0.0255396448075771,0.9071310460567474,
efficientnet_b0,lime,-0.2349172685295343,0.9063910126686096,
efficientnet_b1,gradcam++,-0.0454869106411933,0.9067311465740204,
efficientnet_b1,gradcam,0.0246999621391296,0.9073365151882172,
efficientnet_b1,ig,0.0422469414770603,0.9205746948719024,
efficientnet_b1,lime,-0.1090552911162376,0.9002301573753357,
mobilenet_v2,gradcam++,-0.0533358998596668,0.9053869068622588,
mobilenet_v2,gradcam,0.0490735724568367,0.916135060787201,
mobilenet_v2,ig,-0.057910499535501,0.9179211795330048,
mobilenet_v2,lime,-0.0500628530979156,0.9231994450092316,
resnet18,gradcam++,0.0321244135499,0.9483109891414644,0.0562174872161433
resnet18,gradcam,-0.1903473868966102,0.9490024328231812,0.0456028807677598
resnet18,ig,0.116275318711996,0.956083697080612,-0.0400137708806198
resnet18,lime,0.1763848848640918,0.9553607702255248,
resnet34,gradcam++,-0.1642284717410803,0.9774397253990174,-0.052546423696396
resnet34,gradcam,-0.1479777492582798,0.9766806364059448,-0.0255674388177024
resnet34,ig,0.0939208395779132,0.9820526719093324,-0.0688075834029756
resnet34,lime,0.2210294753313064,0.9736730456352234,
resnet50,gradcam++,-0.1536976493895054,0.9470868766307832,-0.0251914497575107
resnet50,gradcam,-0.1287227243185043,0.944314193725586,-0.0251504362411292
resnet50,ig,-0.164064160734415,0.9586181938648224,-0.0219298609153295
resnet50,lime,0.0354645423591136,0.9471302330493928,
vgg16_bn,gradcam++,0.0118609644472599,0.9465365648269654,
vgg16_bn,gradcam,0.0187254302203655,0.9431361019611358,
vgg16_bn,ig,0.0282614849507808,0.9438950836658476,
vgg16_bn,lime,0.0256354607641696,0.9253605484962464,
